model.model.preprocess_conv.weight | Shape: [64, 64, 1]
model.model.postprocess_conv.weight | Shape: [64, 64, 1]
conditioner.conditioners.seconds_total.embedder.embedding.0.weights | Shape: [128]
conditioner.conditioners.seconds_total.embedder.embedding.1.weight | Shape: [768, 257]
conditioner.conditioners.seconds_total.embedder.embedding.1.bias | Shape: [768]
conditioner.conditioners.score_bin.embedding.weight | Shape: [11, 768]
pretransform.model.encoder.layers.0.bias | Shape: [128]
pretransform.model.encoder.layers.0.weight_g | Shape: [128, 1, 1]
pretransform.model.encoder.layers.0.weight_v | Shape: [128, 2, 7]
pretransform.model.encoder.layers.1.layers.0.layers.0.alpha | Shape: [128]
pretransform.model.encoder.layers.1.layers.0.layers.0.beta | Shape: [128]
pretransform.model.encoder.layers.1.layers.0.layers.1.bias | Shape: [128]
pretransform.model.encoder.layers.1.layers.0.layers.1.weight_g | Shape: [128, 1, 1]
pretransform.model.encoder.layers.1.layers.0.layers.1.weight_v | Shape: [128, 128, 7]
pretransform.model.encoder.layers.1.layers.0.layers.2.alpha | Shape: [128]
pretransform.model.encoder.layers.1.layers.0.layers.2.beta | Shape: [128]
pretransform.model.encoder.layers.1.layers.0.layers.3.bias | Shape: [128]
pretransform.model.encoder.layers.1.layers.0.layers.3.weight_g | Shape: [128, 1, 1]
pretransform.model.encoder.layers.1.layers.0.layers.3.weight_v | Shape: [128, 128, 1]
pretransform.model.encoder.layers.1.layers.1.layers.0.alpha | Shape: [128]
pretransform.model.encoder.layers.1.layers.1.layers.0.beta | Shape: [128]
pretransform.model.encoder.layers.1.layers.1.layers.1.bias | Shape: [128]
pretransform.model.encoder.layers.1.layers.1.layers.1.weight_g | Shape: [128, 1, 1]
pretransform.model.encoder.layers.1.layers.1.layers.1.weight_v | Shape: [128, 128, 7]
pretransform.model.encoder.layers.1.layers.1.layers.2.alpha | Shape: [128]
pretransform.model.encoder.layers.1.layers.1.layers.2.beta | Shape: [128]
pretransform.model.encoder.layers.1.layers.1.layers.3.bias | Shape: [128]
pretransform.model.encoder.layers.1.layers.1.layers.3.weight_g | Shape: [128, 1, 1]
pretransform.model.encoder.layers.1.layers.1.layers.3.weight_v | Shape: [128, 128, 1]
pretransform.model.encoder.layers.1.layers.2.layers.0.alpha | Shape: [128]
pretransform.model.encoder.layers.1.layers.2.layers.0.beta | Shape: [128]
pretransform.model.encoder.layers.1.layers.2.layers.1.bias | Shape: [128]
pretransform.model.encoder.layers.1.layers.2.layers.1.weight_g | Shape: [128, 1, 1]
pretransform.model.encoder.layers.1.layers.2.layers.1.weight_v | Shape: [128, 128, 7]
pretransform.model.encoder.layers.1.layers.2.layers.2.alpha | Shape: [128]
pretransform.model.encoder.layers.1.layers.2.layers.2.beta | Shape: [128]
pretransform.model.encoder.layers.1.layers.2.layers.3.bias | Shape: [128]
pretransform.model.encoder.layers.1.layers.2.layers.3.weight_g | Shape: [128, 1, 1]
pretransform.model.encoder.layers.1.layers.2.layers.3.weight_v | Shape: [128, 128, 1]
pretransform.model.encoder.layers.1.layers.3.alpha | Shape: [128]
pretransform.model.encoder.layers.1.layers.3.beta | Shape: [128]
pretransform.model.encoder.layers.1.layers.4.bias | Shape: [128]
pretransform.model.encoder.layers.1.layers.4.weight_g | Shape: [128, 1, 1]
pretransform.model.encoder.layers.1.layers.4.weight_v | Shape: [128, 128, 4]
pretransform.model.encoder.layers.2.layers.0.layers.0.alpha | Shape: [128]
pretransform.model.encoder.layers.2.layers.0.layers.0.beta | Shape: [128]
pretransform.model.encoder.layers.2.layers.0.layers.1.bias | Shape: [128]
pretransform.model.encoder.layers.2.layers.0.layers.1.weight_g | Shape: [128, 1, 1]
pretransform.model.encoder.layers.2.layers.0.layers.1.weight_v | Shape: [128, 128, 7]
pretransform.model.encoder.layers.2.layers.0.layers.2.alpha | Shape: [128]
pretransform.model.encoder.layers.2.layers.0.layers.2.beta | Shape: [128]
pretransform.model.encoder.layers.2.layers.0.layers.3.bias | Shape: [128]
pretransform.model.encoder.layers.2.layers.0.layers.3.weight_g | Shape: [128, 1, 1]
pretransform.model.encoder.layers.2.layers.0.layers.3.weight_v | Shape: [128, 128, 1]
pretransform.model.encoder.layers.2.layers.1.layers.0.alpha | Shape: [128]
